run,description,batch_size,rep,task_sequence,tasks_in_batch,backbone_latency_ms,total_latency_ms,per_request_latency_ms,mean_decoder_latency_ms,sum_decoder_latency_ms,mean_swap_latency_ms,gpu_peak_mb
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,17,heartrate,"heartrate,heartrate",3.166365,4.008589,2.0042945,0.381238,0.762476,0.00048,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,18,heartrate,"heartrate,heartrate",3.185706,4.009405,2.0047025,0.3694565,0.738913,0.00051,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,19,heartrate,"heartrate,heartrate",3.170957,3.990986,1.995493,0.370567,0.741134,0.000474,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,20,heartrate,"heartrate,heartrate",3.211962,4.027734,2.013867,0.366793,0.733586,0.0004925,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,21,heartrate,"heartrate,heartrate",3.306727,4.143004,2.071502,0.379249,0.758498,0.000478,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,22,heartrate,"heartrate,heartrate",3.312307,4.014706,2.007353,0.312046,0.624092,0.000428,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,23,heartrate,"heartrate,heartrate",3.170772,3.983352,1.991676,0.366875,0.73375,0.000485,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,24,heartrate,"heartrate,heartrate",3.168057,3.990149,1.9950745,0.37078,0.74156,0.0004705,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,25,heartrate,"heartrate,heartrate",3.162953,3.977281,1.9886405,0.368419,0.736838,0.0004585,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,26,heartrate,"heartrate,heartrate",3.172408,3.991083,1.9955415,0.3697395,0.739479,0.000494,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,27,heartrate,"heartrate,heartrate",3.214593,4.009108,2.004554,0.3569895,0.713979,0.00048,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,28,heartrate,"heartrate,heartrate",3.364941,4.154954,2.077477,0.35319,0.70638,0.000459,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,29,heartrate,"heartrate,heartrate",3.222175,4.000434,2.000217,0.3494535,0.698907,0.000476,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,30,heartrate,"heartrate,heartrate",3.204862,3.999304,1.999652,0.3572525,0.714505,0.000518,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,31,heartrate,"heartrate,heartrate",3.223746,4.007498,2.003749,0.3494735,0.698947,0.000623,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,32,heartrate,"heartrate,heartrate",3.221229,4.007304,2.003652,0.3525395,0.705079,0.0005865,444.38818359375
run1_baseline,"Single task, single decoder — heartrate regression, seq_len=512",2,33,heartrate,"heartrate,heartrate",3.225922,4.002928,2.001464,0.348148,0.696296,0.000507,444.38818359375
